healthy;infected;dead;#dominant_virus
43;79;5;NP-Virus-G7
43;79;5;NP-Virus-G7
47;75;5;NP-Virus-G7
46;76;5;NP-Virus-G7
48;74;5;NP-Virus-G7
48;74;5;NP-Virus-G7
46;76;5;NP-Virus-G7
45;77;5;NP-Virus-G7
43;79;5;NP-Virus-G7
45;77;5;NP-Virus-G7
44;78;5;NP-Virus-G7
47;75;5;NP-Virus-G7
46;76;5;NP-Virus-G7
49;73;5;NP-Virus-G7
52;70;5;NP-Virus-G7
54;68;5;NP-Virus-G7
53;69;5;NP-Virus-G7
50;72;5;NP-Virus-G7
51;71;5;NP-Virus-G7
51;71;5;NP-Virus-G7
54;68;5;NP-Virus-G7
56;66;5;NP-Virus-G7
55;67;5;NP-Virus-G7
55;67;5;NP-Virus-G7
55;67;5;NP-Virus-G7
53;69;5;NP-Virus-G7
54;68;5;NP-Virus-G7
55;67;5;NP-Virus-G7
54;68;5;NP-Virus-G7
53;69;5;NP-Virus-G7
53;69;5;NP-Virus-G7
54;68;5;NP-Virus-G7
57;65;5;NP-Virus-G7
55;67;5;NP-Virus-G7
56;66;5;NP-Virus-G7
58;64;5;NP-Virus-G7
60;62;5;NP-Virus-G7
57;65;5;NP-Virus-G7
54;68;5;NP-Virus-G7
50;72;5;NP-Virus-G7
53;69;5;NP-Virus-G7
54;68;5;NP-Virus-G7
54;68;5;NP-Virus-G7
53;69;5;NP-Virus-G7
54;68;5;NP-Virus-G7
53;69;5;NP-Virus-G7
53;69;5;NP-Virus-G7
53;69;5;NP-Virus-G7
50;72;5;NP-Virus-G7
51;71;5;NP-Virus-G7
50;72;5;NP-Virus-G7
51;71;5;NP-Virus-G7
50;72;5;NP-Virus-G7
51;71;5;NP-Virus-G7
49;73;5;NP-Virus-G7
50;72;5;NP-Virus-G7
49;73;5;NP-Virus-G7
49;73;5;NP-Virus-G7
45;77;5;NP-Virus-G7
44;78;5;NP-Virus-G7
45;77;5;NP-Virus-G7
47;75;5;NP-Virus-G7
47;75;5;NP-Virus-G7
47;75;5;NP-Virus-G7
47;75;5;NP-Virus-G7
49;73;5;NP-Virus-G7
49;73;5;NP-Virus-G7
48;74;5;NP-Virus-G7
49;73;5;NP-Virus-G7
45;77;5;NP-Virus-G7
43;79;5;NP-Virus-G7
43;79;5;NP-Virus-G7
43;79;5;NP-Virus-G7
43;79;5;NP-Virus-G7
44;78;5;NP-Virus-G7
43;79;5;NP-Virus-G7
45;77;5;NP-Virus-G7
46;76;5;NP-Virus-G7
46;76;5;NP-Virus-G7
48;74;5;NP-Virus-G7
48;74;5;NP-Virus-G7
46;76;5;NP-Virus-G7
44;78;5;NP-Virus-G7
42;80;5;NP-Virus-G8
42;80;5;NP-Virus-G7
39;83;5;NP-Virus-G8
41;81;5;NP-Virus-G8
42;80;5;NP-Virus-G7
43;79;5;NP-Virus-G7
42;80;5;NP-Virus-G7
45;77;5;NP-Virus-G7
45;77;5;NP-Virus-G7
43;79;5;NP-Virus-G9
43;79;5;NP-Virus-G7
41;81;5;NP-Virus-G7
40;82;5;NP-Virus-G9
40;82;5;NP-Virus-G9
35;87;5;NP-Virus-G9
37;85;5;NP-Virus-G9
37;85;5;NP-Virus-G9
35;87;5;NP-Virus-G9
32;90;5;NP-Virus-G9
32;90;5;NP-Virus-G9
29;93;5;NP-Virus-G9
28;94;5;NP-Virus-G9
30;92;5;NP-Virus-G9
34;88;5;NP-Virus-G9
34;88;5;NP-Virus-G9
35;87;5;NP-Virus-G9
33;89;5;NP-Virus-G9
33;89;5;NP-Virus-G9
32;90;5;NP-Virus-G9
33;89;5;NP-Virus-G9
32;90;5;NP-Virus-G9
31;91;5;NP-Virus-G9
35;87;5;NP-Virus-G9
40;82;5;NP-Virus-G9
38;84;5;NP-Virus-G9
39;83;5;NP-Virus-G9
39;83;5;NP-Virus-G9
35;87;5;NP-Virus-G9
36;86;5;NP-Virus-G9
37;85;5;NP-Virus-G9
36;86;5;NP-Virus-G9
35;87;5;NP-Virus-G9
33;89;5;NP-Virus-G9
30;92;5;NP-Virus-G9
32;90;5;NP-Virus-G9
33;89;5;NP-Virus-G9
32;90;5;NP-Virus-G9
31;91;5;NP-Virus-G9
34;88;5;NP-Virus-G9
31;91;5;NP-Virus-G9
30;92;5;NP-Virus-G9
28;94;5;NP-Virus-G9
30;92;5;NP-Virus-G9
26;96;5;NP-Virus-G9
19;103;5;NP-Virus-G9
21;101;5;NP-Virus-G9
21;101;5;NP-Virus-G9
23;99;5;NP-Virus-G9
24;98;5;NP-Virus-G9
24;98;5;NP-Virus-G9
21;101;5;NP-Virus-G9
21;101;5;NP-Virus-G9
20;102;5;NP-Virus-G9
21;101;5;NP-Virus-G9
20;102;5;NP-Virus-G9
21;101;5;NP-Virus-G9
21;101;5;NP-Virus-G9
18;104;5;NP-Virus-G9
20;102;5;NP-Virus-G9
21;101;5;NP-Virus-G9
21;101;5;NP-Virus-G9
21;101;5;NP-Virus-G9
21;101;5;NP-Virus-G9
23;99;5;NP-Virus-G9
25;97;5;NP-Virus-G9
24;98;5;NP-Virus-G9
29;93;5;NP-Virus-G9
25;97;5;NP-Virus-G9
22;100;5;NP-Virus-G9
22;100;5;NP-Virus-G9
24;98;5;NP-Virus-G9
23;99;5;NP-Virus-G9
24;98;5;NP-Virus-G9
25;97;5;NP-Virus-G9
28;94;5;NP-Virus-G9
25;97;5;NP-Virus-G9
28;94;5;NP-Virus-G9
27;95;5;NP-Virus-G9
28;94;5;NP-Virus-G9
28;94;5;NP-Virus-G9
28;94;5;NP-Virus-G9
29;93;5;NP-Virus-G9
28;94;5;NP-Virus-G9
30;92;5;NP-Virus-G9
30;92;5;NP-Virus-G9
29;93;5;NP-Virus-G9
31;91;5;NP-Virus-G9
32;90;5;NP-Virus-G9
32;90;5;NP-Virus-G9
32;90;5;NP-Virus-G9
35;87;5;NP-Virus-G9
34;88;5;NP-Virus-G9
34;88;5;NP-Virus-G9
32;90;5;NP-Virus-G10
32;90;5;NP-Virus-G10
32;90;5;NP-Virus-G10
30;92;5;NP-Virus-G10
33;89;5;NP-Virus-G10
34;88;5;NP-Virus-G10
34;88;5;NP-Virus-G10
37;85;5;NP-Virus-G10
40;82;5;NP-Virus-G10
42;80;5;NP-Virus-G10
42;80;5;NP-Virus-G10
44;78;5;NP-Virus-G10
43;79;5;NP-Virus-G10
39;83;5;NP-Virus-G10
39;83;5;NP-Virus-G10
37;85;5;NP-Virus-G10
39;83;5;NP-Virus-G10
35;86;6;NP-Virus-G10
37;84;6;NP-Virus-G10
35;86;6;NP-Virus-G10
35;86;6;NP-Virus-G10
33;88;6;NP-Virus-G10
32;89;6;NP-Virus-G10
31;90;6;NP-Virus-G10
29;92;6;NP-Virus-G10
30;91;6;NP-Virus-G10
30;91;6;NP-Virus-G10
31;90;6;NP-Virus-G10
32;89;6;NP-Virus-G10
34;87;6;NP-Virus-G10
33;88;6;NP-Virus-G10
36;85;6;NP-Virus-G10
34;87;6;NP-Virus-G10
34;87;6;NP-Virus-G10
33;88;6;NP-Virus-G10
34;87;6;NP-Virus-G10
33;88;6;NP-Virus-G10
33;88;6;NP-Virus-G10
33;88;6;NP-Virus-G10
35;86;6;NP-Virus-G10
36;85;6;NP-Virus-G10
33;88;6;NP-Virus-G10
38;83;6;NP-Virus-G10
38;83;6;NP-Virus-G10
39;82;6;NP-Virus-G10
38;83;6;NP-Virus-G10
36;85;6;NP-Virus-G10
32;89;6;NP-Virus-G10
31;90;6;NP-Virus-G10
34;87;6;NP-Virus-G10
34;87;6;NP-Virus-G10
34;87;6;NP-Virus-G10
33;88;6;NP-Virus-G10
32;89;6;NP-Virus-G10
32;89;6;NP-Virus-G10
29;92;6;NP-Virus-G10
30;91;6;NP-Virus-G10
30;91;6;NP-Virus-G10
35;86;6;NP-Virus-G11
33;88;6;NP-Virus-G11
31;90;6;NP-Virus-G11
31;90;6;NP-Virus-G11
30;91;6;NP-Virus-G11
28;93;6;NP-Virus-G11
26;95;6;NP-Virus-G11
27;94;6;NP-Virus-G11
24;97;6;NP-Virus-G11
24;97;6;NP-Virus-G11
25;96;6;NP-Virus-G11
25;96;6;NP-Virus-G11
25;96;6;NP-Virus-G11
24;97;6;NP-Virus-G11
25;96;6;NP-Virus-G11
27;94;6;NP-Virus-G11
25;96;6;NP-Virus-G11
23;98;6;NP-Virus-G11
24;97;6;NP-Virus-G11
22;99;6;NP-Virus-G11
21;100;6;NP-Virus-G11
21;100;6;NP-Virus-G11
21;100;6;NP-Virus-G11
23;98;6;NP-Virus-G11
25;96;6;NP-Virus-G11
24;97;6;NP-Virus-G11
25;96;6;NP-Virus-G11
24;97;6;NP-Virus-G11
23;98;6;NP-Virus-G11
20;101;6;NP-Virus-G11
20;101;6;NP-Virus-G11
21;100;6;NP-Virus-G11
22;99;6;NP-Virus-G11
23;98;6;NP-Virus-G11
25;96;6;NP-Virus-G11
23;98;6;NP-Virus-G11
22;99;6;NP-Virus-G11
23;98;6;NP-Virus-G11
21;100;6;NP-Virus-G11
24;97;6;NP-Virus-G11
24;97;6;NP-Virus-G11
26;95;6;NP-Virus-G11
27;94;6;NP-Virus-G11
27;94;6;NP-Virus-G11
26;95;6;NP-Virus-G11
26;95;6;NP-Virus-G11
26;95;6;NP-Virus-G11
25;96;6;NP-Virus-G11
25;96;6;NP-Virus-G11
24;97;6;NP-Virus-G11
25;96;6;NP-Virus-G11
25;96;6;NP-Virus-G11
26;95;6;NP-Virus-G11
28;93;6;NP-Virus-G11
28;93;6;NP-Virus-G11
25;96;6;NP-Virus-G11
22;99;6;NP-Virus-G11
20;101;6;NP-Virus-G11
21;100;6;NP-Virus-G11
19;102;6;NP-Virus-G11
19;102;6;NP-Virus-G11
20;101;6;NP-Virus-G11
21;100;6;NP-Virus-G11
21;100;6;NP-Virus-G11
19;102;6;NP-Virus-G11
19;102;6;NP-Virus-G11
19;102;6;NP-Virus-G11
19;102;6;NP-Virus-G11
19;102;6;NP-Virus-G11
19;102;6;NP-Virus-G11
20;101;6;NP-Virus-G11
18;103;6;NP-Virus-G11
19;102;6;NP-Virus-G11
21;100;6;NP-Virus-G11
24;97;6;NP-Virus-G11
25;96;6;NP-Virus-G11
22;99;6;NP-Virus-G11
19;102;6;NP-Virus-G11
17;104;6;NP-Virus-G11
18;103;6;NP-Virus-G11
18;103;6;NP-Virus-G11
16;105;6;NP-Virus-G11
16;105;6;NP-Virus-G11
16;105;6;NP-Virus-G11
15;106;6;NP-Virus-G11
15;106;6;NP-Virus-G11
16;105;6;NP-Virus-G11
15;106;6;NP-Virus-G11
15;106;6;NP-Virus-G11
15;106;6;NP-Virus-G11
14;107;6;NP-Virus-G11
15;106;6;NP-Virus-G11
17;104;6;NP-Virus-G11
16;105;6;NP-Virus-G11
21;100;6;NP-Virus-G11
20;101;6;NP-Virus-G11
20;101;6;NP-Virus-G11
21;100;6;NP-Virus-G11
21;100;6;NP-Virus-G11
18;103;6;NP-Virus-G11
17;104;6;NP-Virus-G11
16;105;6;NP-Virus-G11
16;105;6;NP-Virus-G11
18;103;6;NP-Virus-G11
19;102;6;NP-Virus-G11
20;101;6;NP-Virus-G11
18;103;6;NP-Virus-G11
19;102;6;NP-Virus-G11
20;101;6;NP-Virus-G11
21;100;6;NP-Virus-G11
20;101;6;NP-Virus-G11
19;102;6;NP-Virus-G11
22;99;6;NP-Virus-G11
21;100;6;NP-Virus-G11
20;101;6;NP-Virus-G11
21;100;6;NP-Virus-G11
20;101;6;NP-Virus-G11
18;103;6;NP-Virus-G11
18;103;6;NP-Virus-G11
18;103;6;NP-Virus-G11
15;106;6;NP-Virus-G11
17;104;6;NP-Virus-G11
17;104;6;NP-Virus-G11
15;106;6;NP-Virus-G11
16;105;6;NP-Virus-G11
17;104;6;NP-Virus-G11
17;104;6;NP-Virus-G11
19;102;6;NP-Virus-G11
20;101;6;NP-Virus-G11
18;103;6;NP-Virus-G11
13;108;6;NP-Virus-G13
15;106;6;NP-Virus-G13
14;107;6;NP-Virus-G13
14;107;6;NP-Virus-G13
14;107;6;NP-Virus-G13
13;108;6;NP-Virus-G13
15;106;6;NP-Virus-G13
12;109;6;NP-Virus-G13
14;107;6;NP-Virus-G13
14;107;6;NP-Virus-G13
14;107;6;NP-Virus-G13
16;105;6;NP-Virus-G13
14;107;6;NP-Virus-G13
14;107;6;NP-Virus-G13
13;108;6;NP-Virus-G13
11;110;6;NP-Virus-G13
12;109;6;NP-Virus-G13
12;109;6;NP-Virus-G13
13;108;6;NP-Virus-G13
15;106;6;NP-Virus-G13
16;105;6;NP-Virus-G13
17;104;6;NP-Virus-G13
19;102;6;NP-Virus-G13
18;103;6;NP-Virus-G13
18;103;6;NP-Virus-G13
20;101;6;NP-Virus-G13
22;99;6;NP-Virus-G13
21;100;6;NP-Virus-G13
20;101;6;NP-Virus-G13
21;100;6;NP-Virus-G13
19;102;6;NP-Virus-G13
19;102;6;NP-Virus-G13
19;102;6;NP-Virus-G13
19;102;6;NP-Virus-G13
19;102;6;NP-Virus-G13
20;101;6;NP-Virus-G13
21;100;6;NP-Virus-G13
21;100;6;NP-Virus-G13
19;102;6;NP-Virus-G13
16;105;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
13;108;6;NP-Virus-G13
13;108;6;NP-Virus-G13
13;108;6;NP-Virus-G13
15;106;6;NP-Virus-G13
17;104;6;NP-Virus-G13
17;104;6;NP-Virus-G13
17;104;6;NP-Virus-G13
15;106;6;NP-Virus-G13
13;108;6;NP-Virus-G13
13;108;6;NP-Virus-G13
13;108;6;NP-Virus-G13
14;107;6;NP-Virus-G13
14;107;6;NP-Virus-G13
14;107;6;NP-Virus-G13
14;107;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
15;106;6;NP-Virus-G13
16;105;6;NP-Virus-G13
17;103;7;NP-Virus-G13
17;103;7;NP-Virus-G13
16;104;7;NP-Virus-G13
16;104;7;NP-Virus-G13
14;106;7;NP-Virus-G13
11;109;7;NP-Virus-G13
10;110;7;NP-Virus-G13
11;109;7;NP-Virus-G13
12;108;7;NP-Virus-G13
12;108;7;NP-Virus-G13
12;108;7;NP-Virus-G13
12;108;7;NP-Virus-G13
11;109;7;NP-Virus-G13
10;110;7;NP-Virus-G13
10;110;7;NP-Virus-G13
12;108;7;NP-Virus-G13
16;104;7;NP-Virus-G13
19;101;7;NP-Virus-G13
19;101;7;NP-Virus-G13
17;103;7;NP-Virus-G13
17;103;7;NP-Virus-G13
16;104;7;NP-Virus-G13
16;104;7;NP-Virus-G13
17;103;7;NP-Virus-G13
18;102;7;NP-Virus-G13
17;103;7;NP-Virus-G13
17;103;7;NP-Virus-G13
17;103;7;NP-Virus-G13
14;106;7;NP-Virus-G13
15;105;7;NP-Virus-G13
13;107;7;NP-Virus-G13
13;107;7;NP-Virus-G13
14;106;7;NP-Virus-G13
12;108;7;NP-Virus-G13
12;108;7;NP-Virus-G13
13;107;7;NP-Virus-G13
14;106;7;NP-Virus-G13
15;105;7;NP-Virus-G13
17;103;7;NP-Virus-G13
16;104;7;NP-Virus-G13
15;105;7;NP-Virus-G13
16;104;7;NP-Virus-G13
15;105;7;NP-Virus-G13
14;106;7;NP-Virus-G13
12;108;7;NP-Virus-G13
11;109;7;NP-Virus-G13
13;107;7;NP-Virus-G13
14;106;7;NP-Virus-G13
16;104;7;NP-Virus-G13
15;105;7;NP-Virus-G13
15;105;7;NP-Virus-G13
16;104;7;NP-Virus-G13
14;106;7;NP-Virus-G13
16;104;7;NP-Virus-G13
18;102;7;NP-Virus-G13
18;102;7;NP-Virus-G13
17;103;7;NP-Virus-G13
17;103;7;NP-Virus-G14
13;107;7;NP-Virus-G14
12;108;7;NP-Virus-G14
14;106;7;NP-Virus-G14
13;107;7;NP-Virus-G14
16;104;7;NP-Virus-G14
18;102;7;NP-Virus-G14
19;101;7;NP-Virus-G14
